FunctionName, RelativePath, CountLineCode, CountPath, Cyclomatic, MaxNesting, Knots, CountInput, CountOutput
xstack_init, gnuit-4.9.5\src\xstack.c, 8, 1, 1, 0, 0, 4, 3
xstack_pop, gnuit-4.9.5\src\xstack.c, 13, 2, 2, 1, 1, 6, 5
xstack_preview, gnuit-4.9.5\src\xstack.c, 13, 2, 2, 1, 1, 9, 2
xstack_push, gnuit-4.9.5\src\xstack.c, 10, 1, 1, 0, 0, 7, 5
get_fs_usage, gnuit-4.9.5\lib\fsusage.c, 13, 1, 1, 0, 0, 3, 1
human_readable, gnuit-4.9.5\lib\human.c, 194, 5880, 36, 5, 11, 11, 8
xcalloc, gnuit-4.9.5\lib\xmalloc.c, 9, 2, 3, 1, 0, 6, 3
canceled, gnuit-4.9.5\src\panel.c, 19, 2, 3, 1, 1, 5, 8
cutname, gnuit-4.9.5\src\panel.c, 15, 2, 3, 1, 1, 5, 5
clock_refresh, gnuit-4.9.5\src\gitps.c, 4, 1, 1, 0, 0, 1, 0
fnmatch, gnuit-4.9.5\lib\fnmatch.c, 6, 1, 1, 0, 0, 1, 1
getgroup, gnuit-4.9.5\lib\idcache.c, 25, 6, 4, 2, 2, 3, 5
getuser, gnuit-4.9.5\lib\idcache.c, 25, 6, 4, 2, 2, 3, 5
il_read_char, gnuit-4.9.5\src\git.c, 89, 2088, 20, 4, 18, 20, 19
il_read_line, gnuit-4.9.5\src\git.c, 105, 1752, 23, 4, 38, 14, 16
pack_compare_fn, gnuit-4.9.5\src\panel.c, 8, 1, 1, 0, 0, 3, 1
panel_2s_message, gnuit-4.9.5\src\panel.c, 14, 1, 1, 0, 0, 10, 6
panel_3s_message, gnuit-4.9.5\src\panel.c, 15, 1, 1, 0, 0, 8, 6
panel_act_BIN_PACKING, gnuit-4.9.5\src\panel.c, 101, 5904, 20, 4, 6, 12, 13
panel_act_CASE, gnuit-4.9.5\src\panel.c, 40, 20, 7, 3, 7, 9, 15
panel_act_CHDIR, gnuit-4.9.5\src\panel.c, 30, 4, 3, 1, 1, 6, 13
panel_act_CMPDIR, gnuit-4.9.5\src\panel.c, 80, 37, 13, 7, 26, 13, 16
panel_act_COMPARE, gnuit-4.9.5\src\panel.c, 97, 29, 14, 4, 19, 9, 10
panel_act_COPY, gnuit-4.9.5\src\panel.c, 111, 174, 18, 4, 25, 12, 26
panel_act_DELETE, gnuit-4.9.5\src\panel.c, 115, 25238, 26, 6, 29, 12, 28
panel_act_ENTER, gnuit-4.9.5\src\panel.c, 69, 27, 10, 3, 13, 11, 24
panel_act_MKDIR, gnuit-4.9.5\src\panel.c, 55, 9, 7, 2, 5, 8, 20
panel_act_MOVE, gnuit-4.9.5\src\panel.c, 120, 936, 22, 4, 30, 14, 28
panel_act_REGET, gnuit-4.9.5\src\panel.c, 27, 12, 5, 2, 3, 7, 6
panel_activate, gnuit-4.9.5\src\panel.c, 6, 1, 1, 0, 0, 1, 2
panel_beautify_info_number, gnuit-4.9.5\src\panel.c, 30, 2, 5, 1, 1, 6, 5
panel_beautify_number, gnuit-4.9.5\src\panel.c, 9, 1, 1, 0, 0, 6, 2
panel_build_entry_field, gnuit-4.9.5\src\panel.c, 55, 10, 11, 2, 21, 13, 8
panel_case_rename, gnuit-4.9.5\src\panel.c, 100, 472, 21, 4, 56, 9, 24
panel_center_current_entry, gnuit-4.9.5\src\panel.c, 6, 1, 1, 0, 0, 3, 3
panel_compare, gnuit-4.9.5\src\panel.c, 143, 5488, 27, 4, 26, 10, 16
