FunctionName, RelativePath,NumberOfBugs
_rl_char_search_internal, bash-4.2\lib\readline\text.c, 0
_rl_dispatch, bash-4.2\lib\readline\rlprivate.h, 0
_rl_errmsg, bash-4.2\lib\readline\util.c, 0
_rl_forward_char_internal, bash-4.2\lib\readline\text.c, 0
_rl_free_saved_history_line, bash-4.2\lib\readline\misc.c, 0
_rl_insert_char, bash-4.2\lib\readline\text.c, 0
_rl_overwrite_char, bash-4.2\lib\readline\text.c, 0
_rl_mvcxt_alloc, bash-4.2\lib\readline\vi_mode.c, 0
_rl_mvcxt_dispose, bash-4.2\lib\readline\vi_mode.c, 0
_rl_mvcxt_init, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_append_forward, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_arg_dispatch, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_backup, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_callback_change_char, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_callback_char_search, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_callback_getchar, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_callback_goto_mark, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_callback_set_mark, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_change_char, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_domove_callback, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_done_inserting, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_goto_mark, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_initialize_line, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_reset_last, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_save_insert, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_set_last, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_set_mark, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_stuff_insert, bash-4.2\lib\readline\vi_mode.c, 0
_rl_vi_textmod_command, bash-4.2\lib\readline\vi_mode.c, 0
rl_digit_loop1, bash-4.2\lib\readline\vi_mode.c, 0
rl_domove_motion_callback, bash-4.2\lib\readline\vi_mode.c, 0
rl_domove_read_callback, bash-4.2\lib\readline\vi_mode.c, 1
rl_vi_append_eol, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_append_mode, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_arg_digit, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_back_to_indent, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_change_case, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_change_char, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_change_to, bash-4.2\lib\readline\vi_mode.c, 3
rl_vi_char_search, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_column, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_complete, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_delete_to, bash-4.2\lib\readline\vi_mode.c, 3
rl_vi_domove, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_domove_getchar, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_eof_maybe, bash-4.2\lib\readline\vi_mode.c, 0
